id,user_id,balance,total_earned,total_spent,created_at,updated_at
7e1dce81-94dd-46dc-94b4-cb52e417a201,113535252238275818653,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:38.195
915b22fa-b1eb-48cc-99f0-110ab667d600,106601560610976712286,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:36.408
a707445e-ffbd-464d-abfb-5674b2158cc4,107644984396459941681,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:36.587
6e96023d-db36-4222-8bd7-ddb70e432794,117143489127276091516,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:36.76
0aa2e3e5-9791-4e8a-95c5-2fa1a897258f,112391534641101301536,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:36.932
f56c0f82-ec93-4b66-9b9b-483800f6a08d,113932114225047427839,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:37.329
c6433095-d564-4a3d-9fd9-6d0ee7e564ee,104769375440579310600,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:37.502
c4f5a3e0-5617-46f4-add2-11b9c8f9699f,117967581330609976726,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:37.675
3e872938-98aa-48d9-8b22-3a2474c2489b,117421731133357945714,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:37.847
a652342a-e8ef-4687-93b5-c7fceb68511f,105009786103936074736,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:38.022
becb4519-1104-424b-84f8-9e7e4a4eb02e,101843700659490471682,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:39.327
66bf688d-0b8c-4b20-b071-a44d5d96c029,109157273885808573021,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:39.504
dbf4db8b-87c7-4777-9f5b-94f8d00dfa54,102555170197430454015,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:39.683
1d03ada6-8a62-4a5e-a656-3f6d4091f90e,110533958100740139371,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:39.858
d3b58840-80fc-454c-961f-6ed005a7f9f3,106875255954526738967,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:40.031
4b687235-f5ab-4d87-9480-ccbfdfc3d09d,108247102671435910688,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:40.203
eac6d5a3-cd92-478a-89ef-70d0c4a29da8,116550336016981534580,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:40.376
17f7a3b4-a9e5-43e6-ba92-ae174b4b8055,110080937020141094652,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:40.548
0f1c667c-65ef-4a36-a8eb-b40edbfb132e,104136255347938763024,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:40.721
bb2e0ac1-75b5-4077-9274-823d1ba982e7,118413241314044786041,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:40.896
b3cd7efd-1ee1-4b12-882e-79825f9f2663,100398118304081017835,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:41.069
abb27bf5-414b-45bd-a307-02deba226bbe,101035018549862998642,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:41.243
4e1cb73b-1a5b-40a2-a094-d433d7079592,103847134135411773062,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:41.416
0a12818e-d614-420a-9577-8a3446d47fa5,101017118047810033810,145,145,0,2025-06-26 02:48:32.473985,2025-07-01 12:22:56.436
d5e22014-53f5-442e-a41d-1028ab6fd586,106735105640570221661,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:36.224
3fc14e3d-0948-40e8-b6ca-bc96a0adc152,116637436939594438315,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:38.393
194fb6dd-8cea-4747-baf0-d032fcaa08be,102598988575056957509,42,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:37.154
2ccabe35-f733-47e5-b5d5-2b597027f930,112414978779605500380,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:38.742
3a665eab-4201-4c30-ad21-0f6e0789ba30,114412263988981349708,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:38.973
fa19094d-4d5a-4c94-83b3-701cc7f7935d,101257319488988233453,45,45,0,2025-06-26 02:48:32.473985,2025-06-26 02:48:39.148
086e092f-7d5a-4e75-9c48-fe63b3710599,116590147040386578007,5,5,0,2025-06-26 03:10:19.630377,2025-06-26 03:10:19.630377
e5f91e61-f32b-41b2-a490-7fe1ae0ac6bd,107714304722591997660,5,5,0,2025-06-26 03:52:42.312479,2025-06-26 03:52:42.312479
537610f7-75b9-4f39-a428-77646482a357,116527602069336197180,5,5,0,2025-06-26 04:28:40.133759,2025-06-26 04:28:40.133759
52ebd907-b687-4cf8-ab91-6a90fe538e13,117064908070974409833,105,455,350,2025-06-26 16:17:40.999001,2025-06-27 10:54:01.706594
